el,ringAngle,position
30,228.081,943.442,996.247
30,242.296,943.305,996.280
30,259.527,943.147,996.324
30,279.343,942.976,996.371
30,306.059,942.860,996.432
30,365.982,943.002,996.478
30,401.784,943.377,996.463
30,437.584,943.731,996.389
30,459.147,943.902,996.332
30,491.485,944.051,996.244
30,503.122,944.037,996.217
30,535.440,943.900,996.149
