el,ringAngle,position
30,226.791,943.491,996.56
30,265.125,943.281,996.60
30,306.485,943.141,996.65
30,321.999,943.118,996.665
30,348.729,943.165,996.675
30,389.702,943.341,996.669
30,411.271,943.469,996.663
30,448.374,943.717,996.636
30,458.727,943.777,996.625
30,495.377,943.862,996.570
30,535.453,943.790,996.554
