"position(ringAngle), created by Plot Digitizer, 2.6.4"
"Date: 2/21/14, 9:15:17 AM"


12
ringAngle,position
227.616,996.249,
263.862,996.331,
289.320,996.393,
320.388,996.444,
342.826,996.476,
361.381,996.476,
395.469,996.473,
415.750,996.461,
420.496,996.434,
464.509,996.324,
499.461,996.229,
538.296,996.146,
