"position(ringAngle), created by Plot Digitizer, 2.6.4"
"Date: 2/21/14, 9:13:39 AM"


12
ringAngle,position
228.081,943.442,
242.296,943.305,
259.527,943.147,
279.343,942.976,
306.059,942.860,
365.982,943.002,
401.784,943.377,
437.584,943.731,
459.147,943.902,
491.485,944.051,
503.122,944.037,
535.440,943.900,
